144, 145, 146, 
144, 145, 146, 
144, 145, 147, 
144, 145, 148, 
144, 145, 149, 
144, 145, 150, 
144, 145, 151, 
144, 146, 147, 
144, 146, 148, 
144, 146, 149, 
144, 146, 150, 
144, 146, 151, 
144, 147, 148, 
144, 147, 149, 
144, 147, 150, 
144, 147, 151, 
144, 148, 149, 
144, 148, 150, 
144, 148, 151, 
144, 149, 150, 
144, 149, 151, 
144, 150, 151, 
145, 146, 147, 
145, 146, 148, 
145, 146, 149, 
145, 146, 150, 
145, 146, 151, 
145, 147, 148, 
145, 147, 149, 
145, 147, 150, 
145, 147, 151, 
145, 148, 149, 
145, 148, 150, 
145, 148, 151, 
145, 149, 150, 
145, 149, 151, 
145, 150, 151, 
146, 147, 148, 
146, 147, 149, 
146, 147, 150, 
146, 147, 151, 
146, 148, 149, 
146, 148, 150, 
146, 148, 151, 
146, 149, 150, 
146, 149, 151, 
146, 150, 151, 
147, 148, 149, 
147, 148, 150, 
147, 148, 151, 
147, 149, 150, 
147, 149, 151, 
147, 150, 151, 
148, 149, 150, 
148, 149, 151, 
148, 150, 151, 
149, 150, 151, 
144, 145, 146, 
144, 145, 147, 
144, 145, 148, 
144, 145, 149, 
144, 145, 150, 
144, 145, 151, 
144, 146, 147, 
144, 146, 148, 
144, 146, 149, 
144, 146, 150, 
144, 146, 151, 
144, 147, 148, 
144, 147, 149, 
144, 147, 150, 
144, 147, 151, 
144, 148, 149, 
144, 148, 150, 
144, 148, 151, 
144, 149, 150, 
144, 149, 151, 
144, 150, 151, 
145, 146, 147, 
145, 146, 148, 
145, 146, 149, 
145, 146, 150, 
145, 146, 151, 
145, 147, 148, 
145, 147, 149, 
145, 147, 150, 
145, 147, 151, 
145, 148, 149, 
145, 148, 150, 
145, 148, 151, 
145, 149, 150, 
145, 149, 151, 
145, 150, 151, 
146, 147, 148, 
146, 147, 149, 
146, 147, 150, 
146, 147, 151, 
146, 148, 149, 
146, 148, 150, 
146, 148, 151, 
146, 149, 150, 
146, 149, 151, 
146, 150, 151, 
147, 148, 149, 
147, 148, 150, 
147, 148, 151, 
147, 149, 150, 
147, 149, 151, 
147, 150, 151, 
148, 149, 150, 
148, 149, 151, 
148, 150, 151, 
149, 150, 151, 
76, 77, 78, 
76, 77, 79, 
76, 78, 79, 
77, 78, 79, 
200, 201, 202, 203, 
76, 77, 78, 
76, 77, 79, 
76, 78, 79, 
77, 78, 79, 
264, 265, 266, 267, 
36, 37, 38, 
36, 37, 39, 
36, 38, 39, 
37, 38, 39, 
200, 201, 202, 203, 
36, 37, 38, 
36, 37, 39, 
36, 38, 39, 
37, 38, 39, 
304, 305, 306, 307, 
76, 77, 78, 
76, 77, 79, 
76, 78, 79, 
77, 78, 79, 
240, 241, 242, 243, 
76, 77, 78, 
76, 77, 79, 
76, 78, 79, 
77, 78, 79, 
224, 225, 226, 227, 
-4, -3, -2, 
-4, -3, -1, 
-4, -2, -1, 
-3, -2, -1, 
240, 241, 242, 243, 
-4, -3, -2, 
-4, -3, -1, 
-4, -2, -1, 
-3, -2, -1, 
304, 305, 306, 307, 
36, 37, 38, 
36, 37, 39, 
36, 38, 39, 
37, 38, 39, 
280, 281, 282, 283, 
36, 37, 38, 
36, 37, 39, 
36, 38, 39, 
37, 38, 39, 
224, 225, 226, 227, 
-4, -3, -2, 
-4, -3, -1, 
-4, -2, -1, 
-3, -2, -1, 
280, 281, 282, 283, 
-4, -3, -2, 
-4, -3, -1, 
-4, -2, -1, 
-3, -2, -1, 
264, 265, 266, 267, 
